,#Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Mact
0,1,8.15,-0.11,0.1212,-2.498,3.494,4.942,9.5,0.038,0.0,20.515,20.287,18.599,18.071,17.817,0.121
1,1,8.49,-0.05,0.0657,-3.331,3.384,5.068,6.6,0.028,0.0,19.697,20.047,17.543,16.977,16.673,0.066
2,1,8.55,0.27,0.20389,-2.243,3.531,5.062,9.7,0.038,0.0,20.078,19.735,18.24,17.702,17.468,0.204
3,1,8.63,0.21,0.56508,-1.245,3.604,4.799,12.8,0.038,0.0,20.683,20.203,19.018,18.347,18.22,0.565
4,1,8.71,0.19,0.52219,-1.349,3.595,4.829,7.7,0.034,0.0,15.843,15.374,14.138,13.493,13.353,0.522
5,1,8.75,-0.07,0.15267,-2.44,3.507,5.034,6.5,0.027,0.0,17.371,17.096,15.478,14.95,14.704,0.153
6,1,8.77,0.29,0.22231,-2.176,3.535,5.047,6.1,0.025,0.0,16.309,15.949,14.477,13.937,13.705,0.222
7,1,8.79,-0.09,0.25789,-2.01,3.558,5.038,8.3,0.036,0.0,18.096,17.674,16.325,15.765,15.551,0.258
8,1,8.79,-0.05,0.30813,-1.871,3.565,5.003,8.5,0.036,0.0,17.947,17.509,16.183,15.619,15.419,0.308
9,1,8.79,0.21,0.17244,-2.385,3.51,5.045,7.9,0.035,0.0,18.633,18.355,16.743,16.219,15.974,0.172
10,1,8.87,-0.13,0.25489,-2.012,3.56,5.042,8.5,0.036,0.0,18.3,17.871,16.536,15.975,15.765,0.255
11,1,8.87,-0.05,0.18396,-2.316,3.53,5.084,10.1,0.038,0.0,20.661,20.32,18.824,18.284,18.05,0.184
12,1,8.89,-0.13,0.12512,-2.705,3.487,5.133,7.2,0.032,0.0,18.731,18.523,16.796,16.261,16.009,0.125
13,1,8.97,0.03,0.36815,-1.719,3.571,4.952,8.9,0.037,0.0,17.966,17.52,16.2,15.631,15.445,0.368
14,1,9.03,0.11,0.12617,-2.802,3.474,5.182,8.3,0.036,0.0,20.075,19.922,18.097,17.573,17.311,0.126
15,1,9.09,-0.11,0.1487,-2.579,3.502,5.143,6.2,0.026,0.0,17.418,17.154,15.518,14.984,14.738,0.149
16,1,9.13,0.01,0.2251,-2.141,3.545,5.058,10.4,0.038,0.0,20.522,20.143,18.72,18.17,17.94,0.225
17,1,9.13,0.07,0.30992,-1.878,3.559,4.989,10.2,0.038,0.0,19.664,19.25,17.885,17.322,17.112,0.31
18,1,9.13,0.35,0.22679,-2.158,3.536,5.042,7.0,0.031,0.0,17.164,16.805,15.336,14.795,14.563,0.227
19,1,9.17,-0.31,0.22231,-2.099,3.563,5.082,6.5,0.027,0.0,16.518,16.06,14.771,14.212,14.006,0.222
20,1,9.17,-0.01,0.1113,-2.92,3.467,5.217,8.1,0.035,0.0,20.169,20.044,18.172,17.644,17.382,0.111
21,1,9.17,0.31,0.25789,-2.049,3.543,5.014,8.5,0.036,0.0,18.392,18.02,16.582,16.033,15.802,0.258
22,1,9.17,0.35,0.30813,-1.898,3.553,4.982,8.7,0.037,0.0,18.214,17.82,16.425,15.865,15.643,0.308
23,1,9.19,-0.19,0.67104,-0.885,3.653,4.71,7.2,0.032,0.0,14.182,13.625,12.686,12.061,11.966,0.671
24,1,9.19,-0.11,0.47068,-1.435,3.596,4.876,9.6,0.038,0.0,17.957,17.452,16.285,15.66,15.516,0.471
25,1,9.19,0.01,0.15307,-2.561,3.5,5.131,9.4,0.038,0.0,20.572,20.324,18.662,18.138,17.89,0.153
26,1,9.21,-0.19,0.77099,-0.607,3.691,4.643,8.7,0.037,0.0,14.987,14.401,13.605,13.095,13.022,0.771
27,1,9.21,-0.15,0.64312,-0.973,3.642,4.734,4.6,0.015,0.0,11.803,11.246,10.269,9.624,9.523,0.643
28,1,9.21,0.03,0.30763,-1.877,3.561,4.991,9.9,0.038,0.0,19.363,18.944,17.588,17.024,16.817,0.308
29,1,9.21,0.21,0.21455,-2.202,3.534,5.052,9.7,0.038,0.0,19.975,19.626,18.142,17.602,17.369,0.215
30,1,9.25,-0.23,2.2097,-1.082,4.427,8.016,9.8,0.038,0.0,17.274,20.198,20.55,20.685,20.762,0.698
31,1,9.25,0.27,0.25489,-2.057,3.542,5.015,7.5,0.033,0.0,17.413,17.041,15.6,15.053,14.822,0.255
32,1,9.25,0.35,0.18396,-2.367,3.517,5.085,9.1,0.037,0.0,19.787,19.485,17.916,17.386,17.147,0.184
33,1,9.27,-0.27,0.25091,-1.998,3.567,5.05,6.9,0.03,0.0,16.664,16.198,14.92,14.36,14.162,0.251
34,1,9.27,-0.19,0.48187,-1.39,3.603,4.869,12.8,0.038,0.0,21.045,20.527,19.402,18.768,18.632,0.482
35,1,9.27,-0.07,0.78921,-0.592,3.689,4.629,8.8,0.037,0.0,15.051,14.463,13.658,13.141,13.067,0.789
36,1,9.27,0.03,0.17319,-2.423,3.516,5.11,7.6,0.034,0.0,18.428,18.127,16.553,16.024,15.784,0.173
37,1,9.27,0.09,2.13621,-2.536,4.105,8.193,8.1,0.035,0.0,19.21,20.082,20.207,20.28,20.301,0.717
38,1,9.29,-0.51,0.3078,-1.769,3.596,5.024,10.2,0.038,0.0,19.393,18.856,17.743,17.162,17.002,0.308
39,1,9.31,-0.33,0.51522,-1.272,3.618,4.841,7.7,0.034,0.0,15.649,15.115,14.059,13.416,13.288,0.515
40,1,9.31,-0.21,0.29591,-1.872,3.572,5.016,9.0,0.037,0.0,18.451,17.979,16.712,16.148,15.959,0.296
41,1,9.31,-0.11,1.27205,0.534,3.82,4.235,10.2,0.038,0.0,13.635,13.203,12.812,12.618,12.591,1.272
42,1,9.31,0.13,0.12541,-2.81,3.472,5.182,9.0,0.037,0.0,20.796,20.65,18.815,18.29,18.028,0.125
43,1,9.31,0.45,0.30646,-1.901,3.553,4.982,8.1,0.035,0.0,17.622,17.228,15.832,15.271,15.049,0.306
44,1,9.33,-0.25,1.20166,0.476,3.826,4.292,10.2,0.038,0.0,13.779,13.374,12.995,12.809,12.784,1.202
45,1,9.33,-0.19,0.27336,-1.943,3.567,5.031,8.3,0.036,0.0,17.928,17.473,16.179,15.616,15.418,0.273
46,1,9.33,0.07,1.33614,0.589,3.807,4.15,7.8,0.034,0.0,11.099,10.618,10.198,9.985,9.955,1.336
47,1,9.35,-0.31,0.6376,-0.938,3.651,4.731,8.2,0.036,0.0,15.315,14.763,13.816,13.186,13.089,0.638
48,1,9.35,-0.29,0.15012,-2.545,3.511,5.149,8.4,0.036,0.0,19.532,19.239,17.671,17.12,16.879,0.15
49,1,9.35,-0.23,0.09891,-3.076,3.455,5.274,7.9,0.035,0.0,20.361,20.276,18.345,17.795,17.553,0.099
50,1,9.35,-0.05,0.85409,-0.424,3.712,4.588,6.9,0.03,0.0,12.729,12.132,11.415,10.969,10.906,0.854
51,1,9.37,-0.03,0.69779,-0.856,3.651,4.686,8.4,0.036,0.0,15.309,14.757,13.801,13.163,13.068,0.698
52,1,9.37,-0.01,0.7437,-0.731,3.667,4.655,13.1,0.038,0.0,19.698,19.127,18.236,17.649,17.564,0.744
53,1,9.37,0.05,0.53194,-1.304,3.602,4.822,11.1,0.038,0.0,19.13,18.634,17.471,16.813,16.683,0.532
54,1,9.39,-0.49,0.19155,-2.205,3.563,5.122,9.8,0.038,0.0,20.083,19.622,18.353,17.795,17.585,0.192
55,1,9.39,-0.31,0.23839,-2.036,3.567,5.065,9.8,0.038,0.0,19.66,19.197,17.922,17.361,17.161,0.238
56,1,9.39,-0.19,0.16541,-2.448,3.52,5.131,9.2,0.037,0.0,20.09,19.77,18.242,17.698,17.46,0.165
57,1,9.39,0.05,0.70341,-0.856,3.648,4.678,6.9,0.03,0.0,13.811,13.258,12.289,11.647,11.55,0.703
58,1,9.39,0.23,0.16341,-2.51,3.501,5.11,10.1,0.038,0.0,21.145,20.897,19.236,18.713,18.464,0.163
59,1,9.41,-0.17,1.19367,0.436,3.814,4.281,5.9,0.024,0.0,9.579,9.13,8.725,8.518,8.491,1.194
60,1,9.41,-0.03,1.08949,0.157,3.78,4.385,10.0,0.038,0.0,14.377,13.853,13.352,13.075,13.039,1.089
61,1,9.41,-0.01,0.56506,-1.211,3.612,4.796,8.0,0.035,0.0,15.798,15.286,14.177,13.511,13.388,0.565
62,1,9.41,0.01,1.62939,-1.895,4.236,8.034,9.0,0.037,0.0,18.507,20.218,20.445,20.543,20.587,0.646
63,1,9.41,0.05,0.08902,-3.289,3.416,5.288,7.8,0.034,0.0,20.792,20.927,18.677,18.13,17.856,0.089
64,1,9.41,0.09,0.38957,-1.659,3.572,4.922,9.7,0.038,0.0,18.617,18.176,16.844,16.272,16.09,0.39
65,1,9.43,0.05,0.42413,-1.568,3.58,4.899,11.4,0.038,0.0,20.091,19.631,18.339,17.754,17.586,0.424
66,1,9.45,-0.53,0.31569,-1.737,3.599,5.016,9.5,0.038,0.0,18.613,18.069,16.972,16.388,16.232,0.316
67,1,9.45,-0.33,0.11136,-2.886,3.481,5.24,8.8,0.037,0.0,20.786,20.595,18.849,18.29,18.049,0.111
68,1,9.45,-0.31,0.15432,-2.512,3.516,5.147,10.1,0.038,0.0,21.15,20.841,19.302,18.749,18.51,0.154
